Hue,Saturation,Value,Label
94.46759158333333,57.565168541666665,183.0936745625,mentah
95.29821397916666,63.629948416666664,180.9158524375,mentah
100.88576985416667,48.489731125,188.08150197916666,mentah
99.9624325,45.258754,187.02469083333332,mentah
99.12941772916666,51.88521402083333,186.224338,mentah
98.99439925,47.1078400625,189.05837172916668,mentah
89.59614295833333,44.132545979166665,186.678616625,mentah
89.3436694375,45.15264925,185.9989469375,mentah
93.76482222916667,40.395605625,189.07973160416665,mentah
94.4554504375,37.32316733333333,186.18940939583334,mentah
87.5500625625,46.71566760416667,186.83994233333334,mentah
97.7247508125,46.284736375,181.2905975625,mentah
86.2249019375,34.080493458333336,179.6017770625,mentah
85.86677575,38.3644824375,185.2571605625,mentah
84.8390855625,41.052196520833334,188.36554325,mentah
86.29166195833334,40.56334997916667,187.442146625,mentah
84.08240758333334,39.136916791666664,187.5457265,mentah
84.860602625,40.88578783333333,188.38770077083333,mentah
84.1518441875,42.415687229166664,186.36507479166667,mentah
82.26482104166666,40.59262991666667,187.00405708333332,mentah
81.07898989583333,43.69363385416667,188.2123175,mentah
83.171920625,33.906744375,186.04468272916668,mentah
96.93391441666667,51.16934358333334,186.740765875,mentah
82.4950703125,34.94853372916667,186.69528689583333,mentah
89.3316674375,41.53889727083333,185.6798683125,mentah
86.53806360416667,39.6609925,180.48992164583333,mentah
87.85311060416667,42.42088125,186.69544866666666,mentah
89.90523977083333,39.4595205,186.19841533333334,mentah
90.08616441666666,38.19109054166667,186.30102352083333,mentah
91.23043979166667,30.8296121875,186.35471208333334,mentah
87.377687375,34.75244652083333,185.34151416666666,mentah
81.82751172916667,37.2289771875,184.8077630625,mentah
81.14181875,37.331105125,185.49123720833333,mentah
98.09314729166667,52.852809020833334,186.90828022916668,mentah
82.66844060416666,44.666258729166664,184.77532354166667,mentah
81.71803302083333,38.805264854166666,186.48083241666666,mentah
82.82880985416666,38.5639826875,186.76782572916667,mentah
81.77752125,39.046762979166665,179.88595739583334,mentah
83.10346539583334,38.214708145833335,177.690084125,mentah
86.87105516666666,37.48727708333333,184.083723125,mentah
79.97064779166666,43.014912770833334,183.9635198125,mentah
81.54184,37.212739604166664,184.215928125,mentah
80.061368625,31.251636833333333,184.34532752083334,mentah
74.16279941666667,37.28438258333333,173.52086058333333,mentah
98.00186002083333,50.56504283333334,187.379046125,mentah
88.8737859375,44.45121264583333,183.07260325,mentah
91.1784015625,35.110572229166664,185.04897947916666,mentah
94.71254591666667,54.08692852083333,186.25434883333332,mentah
98.22436002083333,53.241452270833335,185.85261854166666,mentah
99.176007375,59.406271833333335,186.01082070833334,mentah
100.3428464375,52.94329375,188.21476583333333,mentah
107.53971609943405,68.90855265428232,181.58947966218224,mentah
107.83714473855359,65.15752683747797,186.35845287646796,mentah
107.22297886050882,73.39957331462762,192.32755468700228,mentah
107.44944687519909,71.4937484570441,194.24957892235977,mentah
107.21542974142051,70.57980649010385,187.48994307985942,mentah
105.6135697661609,83.19293220019537,192.54441879672004,mentah
107.66811815126675,69.31289619125486,181.98137137919684,mentah
108.31877676115973,65.85381679174012,193.08312450890867,mentah
109.21244893313725,59.57422439091401,191.01282486687444,mentah
107.72001182269214,67.76651510304954,187.95411614177408,mentah
106.97211886998556,69.52521148450275,185.52579274751002,mentah
105.40552099481832,78.18852158611884,177.99056781108646,mentah
105.87919509797936,74.47846506416042,194.2057389829631,mentah
107.30177380200259,68.55472068184714,188.12196543712437,mentah
107.09793149342202,69.60731241638175,197.34209414287307,mentah
108.55635372645416,60.75863690299221,187.87028859247914,mentah
107.47186984022277,67.59204519964854,189.9854164122725,mentah
107.65480899533331,70.31795484680605,192.0483843592718,mentah
107.22593428467901,72.1275079669615,193.56508826703157,mentah
107.57566282398756,69.63519263389539,190.9441771831001,mentah
107.77740762505574,67.23090575492684,200.52871681483467,mentah
107.20815428961647,78.7735382898607,197.83819577356178,mentah
107.77668210396801,75.79431029207989,199.8304911975196,mentah
107.80152659724139,73.16473874604472,196.91337389371722,mentah
107.89103761626919,73.87826949035338,193.7868622117161,mentah
108.12784036611522,75.81175680957867,202.93898555129647,mentah
108.2947471310975,74.5373561235108,204.57458292077237,mentah
107.6364069235915,77.23694767156343,193.2293775649568,mentah
108.18724740318865,74.35201667653274,206.73614326063412,mentah
108.09377438865765,79.08203282613773,206.76360223459832,mentah
108.6943184548143,70.29872555161502,205.214382688234,mentah
110.12464420764404,62.3175684441961,195.83372908216356,mentah
111.81653267283761,57.58752276274714,197.01144201339486,mentah
109.62606629865786,31.289879685940452,184.21923710951603,mentah
110.21527270832891,38.05590212151458,186.78842574035338,mentah
110.34574132560152,35.60733207662618,195.4996106110238,mentah
